id,bill_id,title,ministry,status,url,introduction_date,date_scraped,last_updated,has_content,has_summary,content_length,num_sections,num_paragraphs,has_pdf,summary_length,summary_type
1,the-government-of-union-territories-amendment-bill-2025,"The Government of Union Territories (Amendment) Bill, 2025",Home Affairs,In Committee,https://prsindia.org/billtrack/the-government-of-union-territories-amendment-bill-2025,2025-08-20T00:00:00,2025-11-11T14:39:52.948600,2025-11-20T00:35:57.554064,True,False,2359,0,0,True,0,
2,the-jammu-and-kashmir-reorganisation-amendment-bill-2025,"The Jammu and Kashmir Reorganisation (Amendment) Bill, 2025",Home Affairs,In Committee,https://prsindia.org/billtrack/the-jammu-and-kashmir-reorganisation-amendment-bill-2025,2025-08-20T00:00:00,2025-11-11T14:39:52.953938,2025-11-20T00:35:58.712244,True,False,2357,0,0,True,0,
3,the-constitution-one-hundred-and-thirtieth-amendment-bill-2025,"The Constitution (One Hundred and Thirtieth Amendment) Bill, 2025",Home Affairs,In Committee,https://prsindia.org/billtrack/the-constitution-one-hundred-and-thirtieth-amendment-bill-2025,2025-08-20T00:00:00,2025-11-11T14:39:52.955643,2025-11-20T00:35:59.835028,True,False,2374,0,0,True,0,
4,the-promotion-and-regulation-of-online-gaming-bill-2025,"The Promotion and Regulation of Online Gaming Bill, 2025",Electronics and Information Technology,Passed,https://prsindia.org/billtrack/the-promotion-and-regulation-of-online-gaming-bill-2025,2025-08-20T00:00:00,2025-11-11T14:39:52.956859,2025-11-20T00:36:00.955434,True,True,4698,0,3,True,1243,api_llm
5,the-jan-vishwas-amendment-of-provisions-bill-2025,"The Jan Vishwas (Amendment of Provisions) Bill, 2025",Commerce and Industry,In Committee,https://prsindia.org/billtrack/the-jan-vishwas-amendment-of-provisions-bill-2025,2025-08-18T00:00:00,2025-11-11T14:39:52.957952,2025-11-20T00:36:02.184498,True,False,4696,0,0,True,0,
6,the-indian-institutes-of-management-amendment-bill-2025,"The Indian Institutes of Management (Amendment) Bill, 2025",Education,Passed,https://prsindia.org/billtrack/the-indian-institutes-of-management-amendment-bill-2025,2025-08-18T00:00:00,2025-11-11T14:39:52.959042,2025-11-20T00:36:03.354004,True,False,1186,0,0,True,0,
7,the-insolvency-and-bankruptcy-code-amendment-bill-2025,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2025",Finance,In Committee,https://prsindia.org/billtrack/the-insolvency-and-bankruptcy-code-amendment-bill-2025,2025-08-12T00:00:00,2025-11-11T14:39:52.960104,2025-11-20T00:36:05.282559,True,False,27572,0,0,True,0,
8,the-income-tax-no2-bill-2025,"The Income-Tax (No.2) Bill, 2025",Finance,Passed,https://prsindia.org/billtrack/the-income-tax-no2-bill-2025,2025-08-11T00:00:00,2025-11-11T14:39:52.961139,2025-11-20T00:36:06.513252,True,True,4230,0,6,True,1149,api_llm
9,the-taxation-laws-amendment-bill-2025,"The Taxation Laws (Amendment) Bill, 2025",Finance,Passed,https://prsindia.org/billtrack/the-taxation-laws-amendment-bill-2025,2025-08-11T00:00:00,2025-11-11T14:39:52.962195,2025-11-20T00:36:08.009525,True,False,3834,0,0,True,0,
10,the-mines-and-minerals-development-and-regulation-amendment-bill-2025,"The Mines and Minerals (Development and Regulation) Amendment Bill, 2025",Mines,Passed,https://prsindia.org/billtrack/the-mines-and-minerals-development-and-regulation-amendment-bill-2025,2025-08-11T00:00:00,2025-11-11T14:39:52.963742,2025-11-20T00:36:09.129650,True,False,4160,0,0,True,0,
11,the-manipur-goods-and-services-tax-amendment-bill-2025,"The Manipur Goods and Services Tax (Amendment) Bill, 2025",Finance,Passed,https://prsindia.org/billtrack/the-manipur-goods-and-services-tax-amendment-bill-2025,2025-08-07T00:00:00,2025-11-11T14:39:52.965160,2025-11-20T00:36:10.274472,True,False,3541,0,0,True,0,
12,the-national-anti-doping-amendment-bill-2025,"The National Anti-Doping (Amendment) Bill, 2025",Youth Affairs and Sports,Passed,https://prsindia.org/billtrack/the-national-anti-doping-amendment-bill-2025,2025-07-23T00:00:00,2025-11-11T14:39:52.966345,2025-11-20T00:36:11.530280,True,False,4829,0,8,True,0,
13,the-national-sports-governance-bill-2025,"The National Sports Governance Bill, 2025",Youth Affairs and Sports,Passed,https://prsindia.org/billtrack/the-national-sports-governance-bill-2025,2025-07-23T00:00:00,2025-11-11T14:39:52.967626,2025-11-20T00:36:12.715708,True,False,5411,0,0,True,0,
14,the-indian-ports-bill-2025,"The Indian Ports Bill, 2025",Shipping,Passed,https://prsindia.org/billtrack/the-indian-ports-bill-2025,2025-03-28T00:00:00,2025-11-11T14:39:52.969529,2025-11-20T00:36:14.284212,True,False,14265,0,0,True,0,
15,the-immigration-and-foreigners-bill-2025,"The Immigration and Foreigners Bill, 2025",Home Affairs,Passed,https://prsindia.org/billtrack/the-immigration-and-foreigners-bill-2025,2025-03-11T00:00:00,2025-11-11T14:39:52.971230,2025-11-20T00:36:15.462646,True,False,4418,0,0,True,0,
16,the-income-tax-bill-2025,"The Income-tax Bill, 2025",Finance,Withdrawn,https://prsindia.org/billtrack/the-income-tax-bill-2025,2025-02-13T00:00:00,2025-11-11T14:39:52.972424,2025-11-20T00:36:16.585645,True,False,4098,0,0,True,0,
17,the-protection-of-interests-in-aircraft-objects-bill-2025,"The Protection of Interests in Aircraft Objects Bill, 2025",Civil Aviation,Passed,https://prsindia.org/billtrack/the-protection-of-interests-in-aircraft-objects-bill-2025,2025-02-10T00:00:00,2025-11-11T14:39:52.973714,2025-11-20T00:36:17.791533,True,False,3563,0,0,True,0,
18,the-tribhuvan-sahkari-university-bill-2025,"The ""Tribhuvan"" Sahkari University Bill, 2025",Home Affairs,Passed,https://prsindia.org/billtrack/the-tribhuvan-sahkari-university-bill-2025,2025-02-03T00:00:00,2025-11-11T14:39:52.974815,2025-11-20T00:36:19.216176,True,False,3547,0,0,True,0,
19,the-constitution-one-hundred-and-twenty-ninth-amendment-bill-2024,"The Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024",Law and Justice,In Committee,https://prsindia.org/billtrack/the-constitution-one-hundred-and-twenty-ninth-amendment-bill-2024,2024-12-17T00:00:00,2025-11-11T14:39:52.975857,2025-11-20T00:36:20.874404,True,False,27324,0,0,True,0,
20,the-union-territories-laws-amendment-bill-2024,"The Union Territories Laws (Amendment) Bill, 2024",Law and Justice,In Committee,https://prsindia.org/billtrack/the-union-territories-laws-amendment-bill-2024,2024-12-17T00:00:00,2025-11-11T14:39:52.976918,2025-11-20T00:36:22.822978,True,False,27324,0,0,True,0,
21,the-merchant-shipping-bill-2024,"The Merchant Shipping Bill, 2024",Shipping,Passed,https://prsindia.org/billtrack/the-merchant-shipping-bill-2024,2024-12-10T00:00:00,2025-11-11T14:39:52.979135,2025-11-20T00:36:24.642605,True,False,5338,0,0,True,0,
22,the-coastal-shipping-bill-2024,"The Coastal Shipping Bill, 2024",Shipping,Passed,https://prsindia.org/billtrack/the-coastal-shipping-bill-2024,2024-12-02T00:00:00,2025-11-11T14:39:52.980470,2025-11-20T00:36:26.159294,True,False,4847,0,0,True,0,
23,2024-draft-telecom-rules-on-interception-temporary-suspension-of-services-and-cyber-security,"Draft Telecom Rules on Interception, Temporary Suspension of Services, and Cyber Security 2024",Communications,Draft,https://prsindia.org/billtrack/2024-draft-telecom-rules-on-interception-temporary-suspension-of-services-and-cyber-security,,2025-11-11T14:39:52.981803,2025-11-20T00:36:27.908182,True,False,27204,0,0,True,0,
