id,user_id,keyword,results_count,timestamp
1,,gaming,0,2025-11-11T13:59:56.635186
2,,gaming,0,2025-11-11T14:00:09.715603
3,,gaming,0,2025-11-11T14:05:23.133842
4,,finance,0,2025-11-11T14:09:57.096284
5,,gaming,1,2025-11-11T14:40:12.165388
6,,gaming,1,2025-11-11T14:40:26.241203
7,,gaming,1,2025-11-11T14:46:09.282046
8,,finance,0,2025-11-11T14:49:50.525518
9,,constitution,18,2025-11-11T14:50:07.490871
10,,gaming,1,2025-11-11T14:53:48.953467
11,,anti,2,2025-11-11T14:54:18.733672
12,,gaming,1,2025-11-11T15:07:47.055387
13,,gaming,1,2025-11-11T15:08:06.209548
14,,gaming,1,2025-11-11T15:12:56.599649
15,,gaming,1,2025-11-11T15:18:22.698059
16,,gaming,1,2025-11-11T15:24:36.534990
17,,gaming,1,2025-11-11T15:33:08.993956
18,,anti,2,2025-11-11T15:34:08.382903
19,,gaming,1,2025-11-11T15:36:48.618152
20,,gaming,1,2025-11-12T09:29:13.276034
21,,vehicle,1,2025-11-12T09:30:30.858731
22,,anti,2,2025-11-12T09:30:39.043143
23,,regulation,14,2025-11-12T09:30:51.086568
24,,bike,0,2025-11-12T09:30:58.230178
25,,vehicle,1,2025-11-12T09:31:03.483470
26,,tax,11,2025-11-12T09:31:09.510143
27,,gaming,1,2025-11-13T06:41:51.759553
28,,tax,11,2025-11-13T07:05:47.882129
29,,gaming,1,2025-11-13T07:17:20.366179
30,,gaming,1,2025-11-13T07:25:13.609830
31,,tX,0,2025-11-13T07:26:47.221169
32,,tax,11,2025-11-13T07:26:49.880130
33,,gaming,1,2025-11-13T07:33:49.551214
34,,tax,11,2025-11-13T07:34:14.027263
35,,tax,11,2025-11-13T07:35:10.527638
36,,tax,11,2025-11-13T07:38:57.926058
37,,tax,11,2025-11-13T07:39:46.855537
38,,tax,11,2025-11-13T07:47:08.101727
39,,tax,11,2025-11-13T07:47:25.133014
40,,gaming,1,2025-11-13T07:47:34.963513
41,,tax,11,2025-11-13T08:03:49.076032
42,,gaming,1,2025-11-13T08:04:15.978487
43,,tax,11,2025-11-13T08:04:44.725571
44,,tax,11,2025-11-13T08:10:33.394606
45,,tax,11,2025-11-13T08:11:07.458408
46,,tax,11,2025-11-13T08:14:46.705357
47,,vehicle,1,2025-11-13T08:15:15.436605
48,,anti,3,2025-11-13T08:15:20.470626
49,,tax,11,2025-11-13T08:16:31.744154
50,,tax,11,2025-11-13T08:18:02.411338
51,,gaming,3,2025-11-14T05:09:18.577123
52,,tax,37,2025-11-14T05:10:27.452230
53,,tax,37,2025-11-14T05:10:38.935230
54,,tax,37,2025-11-14T19:39:29.347002
55,,vehicle,7,2025-11-14T22:30:30.570417
56,,tax,37,2025-11-14T22:31:38.645254
57,,tax,37,2025-11-15T20:06:44.935574
