Ministry,Total Bills,Passed,Lapsed,Withdrawn,Pending,Decided Bills,Success Rate (%)
Electronics and Information Technology,5,2,0,0,0,2,100.0
Education,1,1,0,0,0,1,100.0
Chemical and Fertilisers and Pharmaceutical,1,1,0,0,0,1,100.0
Petroleum and Natural Gas,3,3,0,0,0,3,100.0
"Environment, Forests and Climate Change",8,6,0,0,0,6,100.0
"Fisheries, Animal Husbandry and Dairying",1,1,0,0,0,1,100.0
Skill Development and Entrepreneurship,2,2,0,0,0,2,100.0
Earth Sciences,1,1,0,0,0,1,100.0
Agriculture and Farmers Welfare,8,4,0,0,1,4,100.0
Youth Affairs,1,1,0,0,0,1,100.0
Statistics and Programme Implementation,1,1,0,0,0,1,100.0
Atomic Energy,2,1,0,0,0,1,100.0
Road Transport and Highways,2,1,0,0,0,1,100.0
Food Processing Industries,1,1,0,0,0,1,100.0
Housing and Urban Poverty Alleviation,6,5,0,0,0,5,100.0
Parliamentary Affairs,5,3,0,0,0,3,100.0
Chemicals and Fertilizers,1,1,0,0,0,1,100.0
AYUSH,5,5,0,0,0,5,100.0
Commerce and Industry,13,10,1,0,0,11,90.9
Tribal Affairs,17,14,2,0,0,16,87.5
Social Justice and Empowerment,7,6,1,0,0,7,85.7
Youth Affairs and Sports,5,4,0,1,0,5,80.0
Corporate Affairs,11,8,1,1,0,10,80.0
Finance,114,82,13,8,0,103,79.6
Labour,22,14,3,1,4,18,77.8
Shipping,14,10,2,1,0,13,76.9
Social Justice and Welfare,14,10,3,0,0,13,76.9
Home Affairs,70,48,7,9,1,64,75.0
Minority Affairs,4,3,0,1,0,4,75.0
Mines,14,9,2,1,0,12,75.0
Urban Development,14,8,2,1,3,11,72.7
Civil Aviation,11,8,2,1,0,11,72.7
Health and Family Welfare,26,15,3,4,2,22,68.2
External Affairs,7,4,1,1,1,6,66.7
Housing and Urban Affairs,4,2,1,0,0,3,66.7
Defence,4,2,0,1,0,3,66.7
Textile,3,2,1,0,0,3,66.7
Railways,3,2,0,1,0,3,66.7
Health,28,16,2,6,0,24,66.7
Human Resource Development,42,25,12,2,0,39,64.1
Information and Broadcasting,11,5,2,1,0,8,62.5
"Finance, Corporate Affairs and Information & Broadcasting",5,3,1,1,0,5,60.0
Power,7,3,2,0,0,5,60.0
Law and Justice,130,51,22,14,4,87,58.6
Science and Technology,7,4,2,1,0,7,57.1
Labour and Employment,15,4,0,3,0,7,57.1
Women and Child Development,11,6,4,1,0,11,54.5
Consumer Affairs and Food Distribution,18,8,5,2,0,15,53.3
Communication and IT,6,2,1,1,0,4,50.0
Panchayati Raj,2,1,1,0,0,2,50.0
Agriculture,8,3,3,0,1,6,50.0
"Personnel, Grievances and Pensions",18,8,8,1,0,17,47.1
Culture,5,2,2,1,0,5,40.0
Water Resources,7,2,3,0,0,5,40.0
Rural Development,10,3,5,0,1,8,37.5
Roads,8,3,3,2,0,8,37.5
Environment and Forests,3,1,0,2,0,3,33.3
Communications,2,0,0,0,0,0,0.0
"Micro, Small and Medium Enterprises",1,0,1,0,0,1,0.0
"Water Resources, River Development and Ganga Rejuvenation",1,0,1,0,0,1,0.0
Science and Technology and Earth Sciences,2,0,1,1,0,2,0.0
"Road Transport, Highways and Shipping",2,0,2,0,0,2,0.0
Medium Small and Medium Enterprises (MSME),1,0,0,1,0,1,0.0
Coal,3,0,1,1,0,2,0.0
Planning,1,0,0,1,0,1,0.0
Space,1,0,0,0,0,0,0.0
